Text,Sentiment,Timestamp,Platform,Likes,Retweets,Country
Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,Twitter,30,15,USA
Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,Twitter,10,5,Canada
Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,Instagram,40,20,USA
Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,Facebook,15,8,UK
Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,Instagram,25,12,Australia
Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,Twitter,50,25,India
Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,Facebook,20,10,Canada
The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,Instagram,30,15,USA
Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,Twitter,60,30,USA
Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,Facebook,35,18,Australia
Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,Instagram,45,22,USA
Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,Twitter,15,7,Canada
Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,Facebook,25,12,UK
"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,Instagram,55,28,USA
Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,Twitter,30,15,India
Reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Facebook,40,20,USA
Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,Instagram,30,15,Canada
Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,Twitter,35,18,UK
Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,Facebook,50,25,USA
Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,Instagram,15,8,USA
Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Twitter,45,22,India
Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,Facebook,30,15,USA
Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,Instagram,60,30,USA
Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,Twitter,40,20,UK
Celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,Facebook,25,12,Canada
Sunday brunch with friends.,Positive,2023-01-22 12:00:00,Instagram,30,15,UK
Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,Facebook,50,25,India
Quiet evening with a good book.,Positive,2023-01-23 19:45:00,Instagram,30,15,Australia
Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,Twitter,45,22,USA
New painting in progress! 🎨,Positive,2023-01-24 15:00:00,Facebook,25,12,Canada
Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,Instagram,35,18,UK
Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,Twitter,30,15,India
Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,Facebook,60,30,USA
Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,Instagram,50,25,USA
Winter sports day at the local park.,Positive,2023-01-26 14:20:00,Twitter,30,15,Canada
Quality time with family this weekend.,Positive,2023-01-26 17:40:00,Facebook,45,22,UK
Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,Instagram,35,18,USA
Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,Twitter,30,15,India
Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,Facebook,25,12,Canada
Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,Instagram,60,30,USA
Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,Twitter,50,25,USA
Celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,Facebook,30,15,UK
Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,Instagram,45,22,India
A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,Twitter,35,18,Canada
Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,Facebook,30,15,USA
New book release from my favorite author!,Positive,2023-01-30 15:45:00,Instagram,25,12,UK
Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,Twitter,55,28,India
Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,Facebook,30,15,Australia
